ID_MUNICIPIO,NOME_MUNICIPIO,CODIGO_INFRACAO,DESCRICAO_INFRACAO,UF_PLACA_VEICULO,TIPO_VEICULO,CATEGORIA_VEICULO,QTDE,MES,ANO
6569,ITATIBA,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,AUTOMOVEL,PARTICULAR,13,11,2025
6145,ANHEMBI,5665-0,PARAR EM LOCAL/HORARIO PROIBIDOS ESPECIFICAMENTE PELA SINALIZACAO,SP,AUTOMOVEL,PARTICULAR,1,11,2025
6997,SALES,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,AUTOMOVEL,PARTICULAR,2,11,2025
6237,BOFETE,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,MOTOCICLO,PARTICULAR,4,11,2025
6473,GUARIBA,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,MOTOCICLO,PARTICULAR,2,11,2025
6921,PRAIA GRANDE,5541-1,ESTACIONAR EM DESACORDO COM A REGULAMENTACAO ESPECIFICADA PELA SINALIZACAO,SP,AUTOMOVEL,PARTICULAR,7,11,2025
7107,SAO PAULO,5843-4,"Deixar de indicar c/ antec, med gesto de braco/luz indicadora, mudanca de faixa",SP,MOTOCICLO,ALUGUEL,1,11,2025
5447,SAO LOURENCO DA SERRA,7579-0,"REC SUB TEST, EX CLIN, PERIC OU PROC Q PERM CERT INFL ALC/SUB PSIC FOR ART. 277",SP,MOTOCICLO,PARTICULAR,1,11,2025
7037,SANTA ISABEL,5215-2,Dirigir ameacando os demais veiculos,SP,AUTOMOVEL,PARTICULAR,1,11,2025
6545,ITAPECERICA DA SERRA,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,AUTOMOVEL,PARTICULAR,14,11,2025
7245,VOTUPORANGA,5185-1,Deixar o condutor de usar o cinto seguranca,SP,AUTOMOVEL,PARTICULAR,3,11,2025
